20190902,hz,拱墅区,湖州街,https://www.danke.com/room/1051557939.html,湖州街  金都清宸公寓 7室1厅,建筑面积约13㎡|11楼|7室2卫|朝南,1790,https://public.danke.com.cn/public-20190818-FobGOo-BV64oGbcofsJrdN-C7Cap?imageView2/1/w/380/h/285,2019-09-02 22:14:08,
20190902,hz,拱墅区,湖州街,https://www.danke.com/duanzu/1670435820.html,湖州街  紫元尚堂 1室1厅,建筑面积约89㎡|16楼|1室1卫|朝南,5430,https://public.danke.com.cn/public-20190516-FsQ3HvWn7LwZr1WVBfSiGfVIsWZm?imageView2/1/w/380/h/285,2019-09-02 22:14:08,
20190902,hz,拱墅区,湖州街,https://www.danke.com/room/2028041060.html,湖州街  紫元尚堂 4室1厅,建筑面积约9㎡|18楼|4室1卫|朝南,1430,https://public.danke.com.cn/public-20190124-isz_FvGvGtgVzEYs5IiVt8Ds8eRKfeKS?imageView2/1/w/380/h/285,2019-09-02 22:14:09,
20190902,hz,拱墅区,湖州街,https://www.danke.com/room/544707670.html,湖州街  紫元尚堂 4室2厅,建筑面积约7㎡|18楼|4室2卫|朝北,1310,https://public.danke.com.cn/public-20190124-isz_FlDsgXq3c0AUQMBnrsLdnME5S5q6?imageView2/1/w/380/h/285,2019-09-02 22:14:10,
20190902,hz,拱墅区,湖州街,https://www.danke.com/room/2129882203.html,湖州街  紫元尚堂 4室2厅,建筑面积约9㎡|6楼|4室1卫|朝东,1466,https://public.danke.com.cn/public-20190124-isz_FvG5-izgVoyi6IOrESROtJToo463?imageView2/1/w/380/h/285,2019-09-02 22:14:11,
20190902,hz,拱墅区,湖州街,https://www.danke.com/room/1214838806.html,湖州街  金都清宸公寓 3室1厅,建筑面积约15㎡|6楼|3室1卫|朝南,1732,https://public.danke.com.cn/public-20190307-FlhCsmVj7mRC5T8Ee2MGZF7-y9Tu?imageView2/1/w/380/h/285,2019-09-02 22:14:11,
20190902,hz,拱墅区,湖州街,https://www.danke.com/room/820320373.html,湖州街  金都清宸公寓 3室1厅,建筑面积约20㎡|6楼|3室1卫|朝南,1888,https://public.danke.com.cn/public-20190307-Fj4N9cpZUk4O8SLDSGvNGkOnFle5?imageView2/1/w/380/h/285,2019-09-02 22:14:12,
20190902,hz,拱墅区,湖州街,https://www.danke.com/room/908760076.html,湖州街  紫元尚堂 4室1厅,建筑面积约8㎡|7楼|4室1卫|朝东,1274,https://public.danke.com.cn/public-20190124-isz_FgsQqTYVtDhP5Ob0GkvDAkJ8Wuwo?imageView2/1/w/380/h/285,2019-09-02 22:14:13,
20190902,hz,拱墅区,湖州街,https://www.danke.com/room/1502142671.html,湖州街  紫元尚堂 4室1厅,建筑面积约8㎡|18楼|4室1卫|朝南,1325,https://public.danke.com.cn/public-20190124-isz_FoyEX-m_PpLW6PCg3lCb8XgvilrQ?imageView2/1/w/380/h/285,2019-09-02 22:14:14,
20190902,hz,拱墅区,湖州街,https://www.danke.com/room/1688505391.html,湖州街  紫元尚堂 4室2厅,建筑面积约7㎡|16楼|4室2卫|朝东,1274,https://public.danke.com.cn/public-20190124-isz_FgsQqTYVtDhP5Ob0GkvDAkJ8Wuwo?imageView2/1/w/380/h/285,2019-09-02 22:14:15,
20190902,hz,拱墅区,湖州街,https://www.danke.com/room/979132755.html,湖州街  紫元尚堂 4室1厅,建筑面积约9㎡|21楼|4室0卫|朝西,1310,https://public.danke.com.cn/public-20190124-isz_Fv9fGM5P2vOWgHEAiEBPQjMk2vhk?imageView2/1/w/380/h/285,2019-09-02 22:14:16,
